#,#,id,address,microdistrict_id,photo_url,marker,created_at,updated_at,is_deleted,category_id,district_id,sub_category_id,name_kz,name_ru,address_building_id,full_address
81,5829,650163,"ул.Розыбакиева, 247 корпус 6",,,POINT (76.892942 43.204354),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Футбольное поле,Футбольное поле,165207,"ул.Розыбакиева, 247 корпус 6"
82,5911,649665,"мкр.Коктем-1, 44 А",107,,POINT (76.926261 43.232393),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Баскетбольная площадка,Баскетбольная площадка,256275,"мкр.Коктем-1, 44 А"
83,5944,650888,"ул.2, 2 корпус 8",,,POINT (76.953388 43.209534),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Спортивная площадка,Спортивная площадка,166271,"ул.2, 2 корпус 8"
84,5991,651796,"ул.Гоголя, 75",,,POINT (76.948296 43.260668),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Площадка для воркаута,Площадка для воркаута,168549,"ул.Гоголя, 75"
85,6010,651917,"ул.Утепова, 20",,,POINT (76.890401 43.217939),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Площадка для воркаута,Площадка для воркаута,165538,"ул.Утепова, 20"
86,6016,651897,"ул.Радостовца, 152 К",,,POINT (76.894964 43.226249),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Площадка для воркаута,Площадка для воркаута,167457,"ул.Радостовца, 152 К"
87,6021,649825,"ул.Тургут Озала, 82 А",,,POINT (76.881965 43.252152),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,2,32,Футбольное поле,Футбольное поле,167543,"ул.Тургут Озала, 82 А"
88,6043,651329,"ул.Санаторий Алма-Ата, 6",,,POINT (76.875111 43.174492),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Almaty Resort Pool,Almaty Resort Pool,185815,"ул.Санаторий Алма-Ата, 6"
89,6067,651055,"ул.Утепова, 20",,,POINT (76.890401 43.217939),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Спортивная площадка,Спортивная площадка,165538,"ул.Утепова, 20"
90,6085,650074,"ул.Митина, 5 А",,,POINT (76.966032 43.217773),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Футбольное поле,Футбольное поле,170863,"ул.Митина, 5 А"
91,6117,651412,"пр.Аль-Фараби, 77/8",,,POINT (76.92539 43.219914),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Теннисный корт,Теннисный корт,338541,"пр.Аль-Фараби, 77/8"
92,6139,650047,"ул.Зенкова, 15/41",,,POINT (76.957154 43.260298),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Футбольное поле,Футбольное поле,168579,"ул.Зенкова, 15/41"
93,6162,651036,"ул.Жандосова, 29 А",,,POINT (76.889313 43.228156),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Спортивная площадка,Спортивная площадка,165115,"ул.Жандосова, 29 А"
94,6164,649736,"ул.Гоголя, 20",,,POINT (76.960459 43.260427),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Баскетбольная площадка,Баскетбольная площадка,167810,"ул.Гоголя, 20"
95,6193,650179,"ул.Абиша Кекилбайулы, 129/1",,,POINT (76.887078 43.20907),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Футбольное поле,Футбольное поле,165149,"ул.Абиша Кекилбайулы, 129/1"
96,6225,651836,"пр.Достык, 272",,,POINT (76.963905 43.220258),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Площадка для воркаута,Площадка для воркаута,166713,"пр.Достык, 272"
97,6248,651357,"Кульджинский тракт, 112",,,POINT (77.042004 43.294362),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Sunrise,Sunrise,245138,"Кульджинский тракт, 112"
98,6272,651239,"ул.Алимжанова, 32",,,POINT (76.958652 43.263553),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Спортивная площадка,Спортивная площадка,255331,"ул.Алимжанова, 32"
99,6280,651307,"ул.Карибжанова, 50",,,POINT (76.942714 43.218704),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,ProSwim,ProSwim,244171,"ул.Карибжанова, 50"
100,6337,650824,"ул.Макатаева, 32/2",,,POINT (76.960065 43.264619),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Спортивная площадка,Спортивная площадка,167872,"ул.Макатаева, 32/2"
101,6355,650098,"ПК Горный Гигант, 1183",187,,POINT (76.994206 43.207634),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Футбольное поле,Футбольное поле,338859,"ПК Горный Гигант, 1183"
102,6376,651305,"мкр.Самал-2, 16",144,,POINT (76.958528 43.229198),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,H2O,H2O,257727,"мкр.Самал-2, 16"
103,6400,651317,"пр.Аль-Фараби, 128/7",,,POINT (76.931606 43.214284),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,SADU HOTEL,SADU HOTEL,338631,"пр.Аль-Фараби, 128/7"
104,6453,649715,"пр.Аль-Фараби, 77/8",,,POINT (76.926139 43.219924),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Баскетбольная площадка,Баскетбольная площадка,338541,"пр.Аль-Фараби, 77/8"
105,6454,650102,"пр.Аль-Фараби, 77/8",,,POINT (76.926139 43.219924),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Футбольное поле,Футбольное поле,338541,"пр.Аль-Фараби, 77/8"
106,6479,651373,"мкр.Хан-Танири, 37 А",172,,POINT (76.903703 43.136897),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,PLATINA,PLATINA,163281,"мкр.Хан-Танири, 37 А"
107,6482,651335,"ул.Тажибаевой Патшайым, 174",,,POINT (76.891102 43.214597),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Акулёнок,Акулёнок,185371,"ул.Тажибаевой Патшайым, 174"
